Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
AC005264.2	ENSG00000267551.3	0.04	0.92	-0.885	2.74E-143
AC005281.2	ENSG00000225606.1	0.14	0.08	0.078	3.70E-06
AC005306.3	ENSG00000267283.1	0.46	1.66	-0.866	7.35E-35
AC005324.6	ENSG00000233002.2	0	0.15	-0.202	9.00E-38
AC005330.2	ENSG00000267372.2	0.07	0	0.098	5.25E-19
AC005336.4	ENSG00000267056.2	0.09	0.05	0.054	3.83E-17
AC005339.2	ENSG00000268565.1	3.68	4.5	-0.233	1.43E-01
AC005355.2	ENSG00000251169.2	0.65	0.21	0.447	4.77E-34
AC005355.3	ENSG00000280420.1	0.07	0.12	-0.066	5.25E-06
AC005363.9	ENSG00000255513.1	0.43	1.77	-0.954	2.59E-20
AC005387.2	ENSG00000269191.1	0.08	0.51	-0.484	1.02E-69
AC005387.3	ENSG00000268938.2	0	0.46	-0.546	2.20E-57
AC005488.11	ENSG00000205584.6	0.04	0.07	-0.041	2.53E-01
AC005498.3	ENSG00000267421.6	0.58	0.52	0.056	1.35E-03
AC005517.3	ENSG00000223878.1	0.75	1.86	-0.709	3.81E-37
AC005519.4	ENSG00000258559.2	0.64	3.34	-1.404	3.96E-102
AC005523.2	ENSG00000269604.1	12.37	9.05	0.412	4.37E-30
AC005523.3	ENSG00000268536.1	0.11	0.2	-0.112	8.83E-11
AC005532.5	ENSG00000230825.1	0.1	0.06	0.053	7.84E-04
AC005534.6	ENSG00000234450.1	0.13	0.16	-0.038	6.19E-02
AC005534.8	ENSG00000224903.1	0.1	0.26	-0.196	1.13E-24
AC005537.2	ENSG00000232006.8	0.09	0	0.124	1.67E-30
AC005538.3	ENSG00000279809.1	1.66	0.14	1.222	4.72E-78
AC005550.3	ENSG00000237070.1	0.01	0.15	-0.187	6.70E-31
AC005562.1	ENSG00000214719.11	5.48	3.51	0.523	1.55E-50
AC005578.3	ENSG00000280247.1	0.01	0	0.014	4.83E-01
AC005592.1	ENSG00000236714.1	0.05	0.2	-0.193	6.90E-17
AC005592.2	ENSG00000231185.6	0.62	0.37	0.242	5.71E-21
AC005592.3	ENSG00000261757.1	0.04	0.1	-0.081	2.71E-07
AC005606.15	ENSG00000260107.1	0.18	0.32	-0.162	3.02E-02
AC005609.16	ENSG00000279726.1	0.01	0	0.014	8.52E-03
AC005609.17	ENSG00000278901.1	0.04	0	0.057	1.02E-12
AC005609.18	ENSG00000278915.1	0.27	0.12	0.181	4.70E-13
AC005609.20	ENSG00000278946.1	0.2	0.13	0.087	1.03E-04
AC005614.3	ENSG00000269296.1	0.01	0	0.014	8.14E-03
AC005618.6	ENSG00000272070.1	0.32	0.29	0.033	7.02E-06
AC005618.8	ENSG00000280026.1	0.21	0.22	-0.012	9.03E-04
AC005682.5	ENSG00000228649.8	0.96	2.93	-1.004	7.73E-71
AC005682.6	ENSG00000226329.2	0.13	0.37	-0.278	4.19E-34
AC005740.6	ENSG00000271871.1	0.19	1.41	-1.018	1.87E-128
AC005752.10	ENSG00000277795.1	0.01	0.05	-0.056	9.75E-29
AC005753.1	ENSG00000278925.1	0.14	1.26	-0.987	2.12E-117
AC005754.7	ENSG00000272154.4	0.09	0	0.124	1.92E-03
AC005754.8	ENSG00000272108.1	0.16	0.3	-0.164	4.10E-16
AC005785.2	ENSG00000268189.2	0.16	0.66	-0.517	6.42E-61
AC005785.5	ENSG00000279203.1	0.34	1.08	-0.634	4.11E-80
AC005786.7	ENSG00000267436.1	3.7	1.93	0.682	1.73E-09
AC005795.1	ENSG00000268034.1	0.25	0.4	-0.163	4.02E-05
AC005822.1	ENSG00000235554.1	0.21	0.19	0.024	2.39E-01
AC005932.1	ENSG00000269019.1	0.13	0.24	-0.134	5.14E-24
