Gene_Symbol	Gene_ID	Median_Tumor	Median_Normal	log2FC	FDR
LINC01125	ENSG00000228486.9	3.05	12.57	-1.744	5.21E-87
RP13-225O21.2	ENSG00000228487.2	0.08	0.3	-0.267	6.39E-42
RAB11FIP1P1	ENSG00000228492.2	1.81	4.61	-0.997	3.46E-70
LINC01013	ENSG00000228495.1	0.08	0.04	0.054	7.37E-02
RPL15P18	ENSG00000228501.2	0.05	0.1	-0.067	1.22E-03
RP11-98I9.4	ENSG00000228506.1	0.9	1.39	-0.331	2.79E-21
RP11-298C3.2	ENSG00000228519.3	0.24	0.27	-0.034	1.30E-01
RP3-510D11.1	ENSG00000228526.3	0.33	0.29	0.044	2.13E-01
RP1-241P17.4	ENSG00000228532.4	20.92	3.38	2.323	1.15E-84
RP11-108M9.3	ENSG00000228549.3	0.46	0.26	0.213	1.00E-18
RP3-340B19.3	ENSG00000228559.1	0.36	1.31	-0.764	2.40E-20
RP11-114M1.1	ENSG00000228561.2	0.28	0.13	0.18	2.46E-15
NUTM2E	ENSG00000228570.7	0.09	0.15	-0.077	3.39E-04
SPCS2P4	ENSG00000228589.3	39.91	18.61	1.061	1.82E-102
RP11-574F21.2	ENSG00000228606.1	0.39	0.79	-0.365	3.78E-32
HK2P1	ENSG00000228612.2	0.02	0.01	0.014	1.13E-06
ZNF883	ENSG00000228623.3	0.56	0.52	0.037	1.08E-11
RP3-399L15.3	ENSG00000228624.7	1.22	0.96	0.18	7.85E-16
HOTAIR	ENSG00000228630.5	0.03	0	0.043	3.55E-24
FCF1P2	ENSG00000228638.1	6.4	6.17	0.046	1.75E-05
RP11-556E13.1	ENSG00000228651.1	0.23	0	0.299	1.45E-10
HNRNPCP7	ENSG00000228653.2	0.49	0.88	-0.335	3.71E-19
PSMD10P1	ENSG00000228663.1	0.15	0.44	-0.324	2.17E-32
RP11-20O24.1	ENSG00000228665.2	0.54	0	0.623	5.18E-26
TRGV5P	ENSG00000228668.1	0	0.04	-0.057	3.90E-18
PROB1	ENSG00000228672.3	0.85	0.91	-0.046	2.18E-01
TTC3-AS1	ENSG00000228677.1	0.03	0.06	-0.041	2.30E-22
RP11-492I21.1	ENSG00000228686.2	0.14	0.23	-0.11	2.74E-16
RP5-826L7.1	ENSG00000228692.2	0	0.51	-0.595	1.23E-140
TNKS2-AS1	ENSG00000228701.1	0.72	0.45	0.246	4.52E-15
RP5-1160K1.6	ENSG00000228703.1	0.38	2.77	-1.45	5.29E-113
SRGAP3-AS2	ENSG00000228723.6	0.27	1.29	-0.851	5.80E-14
SAPCD1	ENSG00000228727.8	1.97	4.66	-0.93	1.47E-25
SPATA13	ENSG00000228741.2	0.1	0.12	-0.026	8.70E-02
RP5-884M6.1	ENSG00000228742.9	0.42	0.27	0.161	2.97E-18
RP13-39P12.3	ENSG00000228748.2	4.22	3.45	0.23	4.78E-02
LIMS1-AS1	ENSG00000228763.1	0	0.13	-0.176	1.98E-38
Z69666.2	ENSG00000228779.1	0.05	0.07	-0.027	2.02E-02
LINC00954	ENSG00000228784.7	0.22	0.47	-0.269	1.65E-11
HCG22	ENSG00000228789.6	0.03	0.08	-0.068	6.62E-08
THRB-AS1	ENSG00000228791.7	0.16	0.3	-0.164	6.18E-11
RP1-223B1.1	ENSG00000228793.1	0.03	0.07	-0.055	1.54E-01
LINC01128	ENSG00000228794.8	6.4	9.93	-0.563	2.23E-38
FAM207BP	ENSG00000228797.2	1.52	0.27	0.989	6.99E-133
RP11-110G21.1	ENSG00000228801.5	3.23	2.47	0.286	3.64E-22
RP11-211G3.3	ENSG00000228804.5	0	0.47	-0.556	4.23E-85
HMGB3P4	ENSG00000228808.1	0.08	0.21	-0.164	1.59E-32
LAMA5-AS1	ENSG00000228812.7	0.02	0.2	-0.234	2.42E-27
MIR4500HG	ENSG00000228824.6	0.02	0	0.029	6.93E-05
RP11-162G10.1	ENSG00000228828.1	0.02	0.04	-0.028	6.93E-13
RP4-781K5.2	ENSG00000228830.1	54.841	49.251	0.152	6.14E-03
PIK3IP1-AS1	ENSG00000228839.5	0.36	1.78	-1.031	9.41E-88
RP11-57H12.5	ENSG00000228852.6	0.37	0.68	-0.294	8.05E-18
RP11-404F10.2	ENSG00000228863.8	0.26	0.55	-0.299	1.44E-32
SEPT7-AS1	ENSG00000228878.7	0.42	0.58	-0.154	5.73E-08
UBAC2-AS1	ENSG00000228889.6	0.53	0.32	0.213	7.84E-40
RASA4CP	ENSG00000228903.6	2.61	3.34	-0.266	8.17E-07
RP13-216E22.4	ENSG00000228906.1	0.39	0.6	-0.203	3.04E-08
OR1H1P	ENSG00000228914.1	0	0.05	-0.07	1.36E-14
OR7E128P	ENSG00000228915.3	0.2	0.15	0.061	2.85E-07
RP11-544M22.8	ENSG00000228917.1	0.09	0.04	0.068	4.85E-20
RP11-567G11.1	ENSG00000228952.1	1.15	0	1.104	7.64E-49
SATB1-AS1	ENSG00000228956.8	0.6	0.78	-0.154	1.23E-02
OR2A9P	ENSG00000228960.5	3.11	10.07	-1.429	3.80E-109
HCG23	ENSG00000228962.1	0.06	0.13	-0.092	1.25E-12
UBTFL6	ENSG00000228970.6	0.02	0	0.029	7.30E-03
RP11-364L4.1	ENSG00000228981.3	0.36	0.81	-0.412	1.75E-17
RP13-228J13.8	ENSG00000228986.1	0.04	0.15	-0.145	1.69E-36
RP1-186E20.1	ENSG00000228997.1	0.14	0.92	-0.752	1.00E-49
RP11-697E2.7	ENSG00000228998.4	0	0.54	-0.623	4.98E-25
EXOSC3P1	ENSG00000229007.1	0.08	0.24	-0.199	8.89E-34
LINC01277	ENSG00000229017.6	0.05	0.1	-0.067	7.67E-16
PMS2P7	ENSG00000229018.5	0.83	0.72	0.089	6.26E-09
RP11-88I18.3	ENSG00000229019.1	0	0.1	-0.138	4.84E-55
RP11-553N16.1	ENSG00000229022.1	0.03	0	0.043	1.49E-23
VDAC1P8	ENSG00000229036.7	1.68	4.99	-1.16	6.59E-90
RP11-386I23.1	ENSG00000229052.2	0.03	0.08	-0.068	1.11E-14
RP11-80I15.4	ENSG00000229065.1	0.1	0.39	-0.338	1.65E-49
LINC01165	ENSG00000229081.1	0.02	0.15	-0.173	2.04E-65
HSPA8P8	ENSG00000229091.2	0.04	0	0.057	9.29E-09
MEOX2-AS1	ENSG00000229108.1	0.08	0.55	-0.521	5.01E-56
RP11-439K3.1	ENSG00000229109.1	0.07	0	0.098	1.22E-01
MED4-AS1	ENSG00000229111.1	0.09	0.76	-0.691	3.78E-86
RP11-20J15.3	ENSG00000229116.2	0.27	0.73	-0.446	4.48E-10
RPL41	ENSG00000229117.8	1818.079	2896.509	-0.672	1.47E-25
VIM-AS1	ENSG00000229124.6	3.27	4.3	-0.312	9.10E-12
RPS7P4	ENSG00000229133.1	0.28	0	0.356	5.86E-53
SNX18P4	ENSG00000229146.2	0	0.14	-0.189	8.27E-55
RP11-348F1.3	ENSG00000229151.1	0	0.14	-0.189	4.76E-22
EPHA1-AS1	ENSG00000229153.5	0.34	0.85	-0.465	2.58E-26
RP11-528A4.2	ENSG00000229155.1	0.69	0.09	0.633	1.15E-16
TCP1P1	ENSG00000229161.2	0.02	0	0.029	4.42E-04
RP11-84D1.1	ENSG00000229162.1	0.05	0.07	-0.027	6.93E-06
RP11-73M7.1	ENSG00000229167.1	0.13	0.11	0.026	6.87E-07
GS1-124K5.11	ENSG00000229180.5	1.38	3.72	-0.988	2.80E-74
PGA4	ENSG00000229183.8	0.06	0.32	-0.316	1.11E-33
RP11-390B4.3	ENSG00000229190.1	0	0.14	-0.189	3.70E-16
RP11-168O16.1	ENSG00000229191.1	0.02	0.04	-0.028	3.46E-10
PTGES3P3	ENSG00000229204.3	0.76	0.21	0.541	1.00E-55
SERPINH1P1	ENSG00000229207.1	0.02	0	0.029	3.02E-05
RP11-561C5.4	ENSG00000229212.7	0.68	1.75	-0.711	4.83E-34
LINC00242	ENSG00000229214.1	0.25	0.18	0.083	2.17E-12
KRT18P4	ENSG00000229222.1	0.11	0.29	-0.217	3.29E-49
RP11-38L15.2	ENSG00000229227.8	0.49	0.81	-0.281	8.69E-15
LINC00582	ENSG00000229228.1	0.33	0.11	0.261	1.21E-33
TTTY10	ENSG00000229236.1	0	0.07	-0.098	1.05E-41
HMGN1P37	ENSG00000229237.2	4.88	0	2.556	9.11E-190
LINC00710	ENSG00000229240.7	0	0.05	-0.07	5.82E-23
LINC00377	ENSG00000229246.1	0	0.19	-0.251	1.34E-51
HNRNPA1P8	ENSG00000229251.3	0.09	0	0.124	1.96E-29
RP11-104G3.2	ENSG00000229273.1	0.79	1.48	-0.47	3.38E-21
XXbac-BPG13B8.10	ENSG00000229274.1	0.06	0.12	-0.079	3.91E-11
RP11-483F11.7	ENSG00000229278.1	0.36	0	0.444	4.07E-20
TUBB8P1	ENSG00000229298.1	0.11	0.18	-0.088	1.76E-06
RP4-583P15.10	ENSG00000229299.2	0.36	1.28	-0.745	4.50E-28
RP11-475I24.8	ENSG00000229311.1	0	0.03	-0.043	2.25E-32
RP11-470P21.2	ENSG00000229312.2	0.09	0	0.124	3.65E-33
ORM1	ENSG00000229314.5	8.11	8.93	-0.124	1.63E-01
KRT8P12	ENSG00000229320.3	4.26	4.15	0.03	3.09E-02
GK-IT1	ENSG00000229331.1	0	0.22	-0.287	1.42E-35
RP5-857K21.7	ENSG00000229344.1	2.85	1.84	0.439	6.88E-06
HYI-AS1	ENSG00000229348.1	0	0.14	-0.189	4.01E-30
LRRC3-AS1	ENSG00000229356.1	0	0.06	-0.084	5.40E-25
HMGN2P19	ENSG00000229367.1	0	0.25	-0.322	9.82E-37
SZT2-AS1	ENSG00000229372.1	0.12	0.36	-0.28	1.56E-32
LINC00452	ENSG00000229373.8	0	0.02	-0.029	1.37E-08
RP11-442N24__B.1	ENSG00000229388.1	0.31	0.26	0.056	2.36E-03
MICD	ENSG00000229390.1	0	0.03	-0.043	3.34E-11
HLA-DRB6	ENSG00000229391.7	28.59	17.24	0.698	1.60E-08
RP11-378J18.6	ENSG00000229399.1	0.07	0.16	-0.117	9.23E-12
LINC00858	ENSG00000229404.5	0.06	0	0.084	2.56E-33
RP11-274B21.12	ENSG00000229413.2	9.76	24.06	-1.22	1.77E-52
KCNQ1-AS1	ENSG00000229414.2	0	0.05	-0.07	4.68E-19
SFTA3	ENSG00000229415.9	145.693	142.863	0.028	2.10E-01
NPM1P25	ENSG00000229417.1	0.75	0.46	0.261	4.94E-26
RALGAPA1P	ENSG00000229419.1	0.54	0.37	0.169	5.59E-15
RP11-262H14.5	ENSG00000229422.1	0.19	0.25	-0.071	4.34E-02
RP1-92O14.6	ENSG00000229431.1	0.36	0.68	-0.305	1.86E-25
THEMIS3P	ENSG00000229442.2	0	0.04	-0.057	5.87E-20
RP11-490K7.4	ENSG00000229447.2	0.46	1.25	-0.624	4.74E-48
RLIMP1	ENSG00000229456.1	0	0.03	-0.043	3.24E-16
LYST-AS1	ENSG00000229463.2	0	0.13	-0.176	3.30E-41
RGS17P1	ENSG00000229473.2	0.21	0.59	-0.394	1.93E-47
PATL2	ENSG00000229474.6	1.51	5.45	-1.362	9.73E-77
RP5-888M10.2	ENSG00000229484.1	0.06	0.14	-0.105	2.47E-04
FLT1P1	ENSG00000229515.1	0	0.05	-0.07	9.41E-49
HNRNPA1P53	ENSG00000229534.1	0.03	0.04	-0.014	1.38E-04
RP11-119B16.2	ENSG00000229539.1	0.77	0.52	0.22	7.92E-13
NKX1-2	ENSG00000229544.8	0.07	0	0.098	4.08E-25
SACS-AS1	ENSG00000229558.2	0	0.02	-0.029	3.34E-27
RP11-423C15.3	ENSG00000229582.3	0.01	0	0.014	3.42E-01
RPL21P44	ENSG00000229585.4	0.07	0.44	-0.428	7.40E-76
RP11-197P3.5	ENSG00000229587.2	0.11	0.1	0.013	2.20E-03
MSX2P1	ENSG00000229590.3	0.03	0.08	-0.068	2.49E-06
RP5-981O7.2	ENSG00000229591.1	0.22	0.66	-0.444	1.06E-43
PRDX3P1	ENSG00000229598.1	0.3	1.88	-1.148	2.58E-97
RP11-492M23.2	ENSG00000229605.5	0.19	0.34	-0.171	5.35E-06
MBNL1-AS1	ENSG00000229619.3	0.7	2.85	-1.179	1.61E-116
RP4-713B5.2	ENSG00000229635.1	0.12	0.37	-0.291	6.34E-33
RPL4P4	ENSG00000229638.1	5.2	4.93	0.064	6.72E-02
NAMPTP1	ENSG00000229644.6	6.03	7.63	-0.296	1.44E-01
RP11-462L8.1	ENSG00000229656.6	0.11	0.04	0.094	3.54E-18
RP11-494K3.2	ENSG00000229657.2	0	0.25	-0.322	6.30E-61
RP11-345K20.2	ENSG00000229659.1	0.22	0.78	-0.545	1.13E-69
RP5-1142J19.1	ENSG00000229660.1	0.18	0.1	0.101	1.82E-15
RP11-536K7.5	ENSG00000229664.1	0	0.15	-0.202	3.60E-24
MAST4-AS1	ENSG00000229666.1	0.41	0.4	0.01	5.00E-04
LINC01150	ENSG00000229671.1	0.23	0.39	-0.176	1.39E-05
ZNF492	ENSG00000229676.2	0.03	0.04	-0.014	3.30E-09
RP11-383F6.1	ENSG00000229677.1	0.18	0.4	-0.247	9.80E-33
ISPD-AS1	ENSG00000229688.7	0.01	0.03	-0.028	9.59E-09
SOS1-IT1	ENSG00000229692.3	0.69	0.89	-0.161	3.92E-09
RP11-305L7.6	ENSG00000229694.6	0.26	0.39	-0.142	1.07E-03
RP1-130G2.1	ENSG00000229700.1	0.09	0.18	-0.114	5.10E-13
RP11-314N13.3	ENSG00000229728.1	0.31	0.43	-0.126	3.31E-08
RP11-159G9.5	ENSG00000229729.6	2.29	2.72	-0.177	1.80E-04
RP11-295K2.3	ENSG00000229739.2	0.08	0.18	-0.128	6.47E-20
RP4-738P11.4	ENSG00000229757.2	0	0.09	-0.124	6.28E-13
MRPS18AP1	ENSG00000229759.1	0.26	1.4	-0.93	2.66E-86
TRBV10-2	ENSG00000229769.2	0.19	0	0.251	1.25E-09
RP4-644L1.2	ENSG00000229771.2	0.18	0.26	-0.095	2.04E-02
UBE2Q1-AS1	ENSG00000229780.1	0	0.16	-0.214	7.10E-17
RPS21P1	ENSG00000229795.2	0.35	0.82	-0.431	1.67E-15
RPS15P5	ENSG00000229806.1	0.1	0	0.138	4.82E-19
XIST	ENSG00000229807.9	12.45	0.67	3.01	4.26E-01
RP11-456P18.2	ENSG00000229808.1	0.28	0.65	-0.366	1.16E-49
ZNF688	ENSG00000229809.8	12.06	11.02	0.12	1.51E-06
PDE4DIPP1	ENSG00000229828.2	0.01	0.05	-0.056	3.61E-31
RP11-384C4.2	ENSG00000229832.1	0.09	0.66	-0.607	3.14E-73
PET100	ENSG00000229833.9	55.56	47.679	0.216	1.26E-17
RP13-766D20.2	ENSG00000229848.1	0.53	0.42	0.108	7.28E-07
RP11-398K22.12	ENSG00000229852.2	1.04	0.89	0.11	8.41E-08
RP5-1049G16.4	ENSG00000229853.1	0	0.06	-0.084	2.99E-34
PGA3	ENSG00000229859.8	0.08	0.63	-0.594	1.44E-40
STEAP3-AS1	ENSG00000229867.1	0.07	0.09	-0.027	3.45E-01
RP11-507K13.6	ENSG00000229870.1	0.33	0.38	-0.053	1.07E-02
RP4-710M16.1	ENSG00000229871.1	0	0.09	-0.124	3.00E-51
OGFR-AS1	ENSG00000229873.1	0	0.09	-0.124	4.31E-24
LINC01315	ENSG00000229891.1	2.14	2.38	-0.106	2.34E-01
RP11-668G10.2	ENSG00000229894.3	0.04	0.1	-0.081	1.72E-21
RP11-456H18.2	ENSG00000229896.2	0.29	0.21	0.092	1.08E-11
RP11-399E6.4	ENSG00000229901.1	0.13	0.44	-0.35	2.66E-24
RHEBP1	ENSG00000229927.2	5.61	4.48	0.271	1.42E-07
RP1-151F17.1	ENSG00000229931.1	1.17	2.27	-0.592	1.64E-40
YWHAZP3	ENSG00000229932.3	1.08	0.58	0.397	6.90E-33
TFAP2A-AS1	ENSG00000229950.1	0.48	0.19	0.315	2.41E-27
FLJ31356	ENSG00000229951.5	0.22	0.14	0.098	3.39E-14
RP11-284F21.7	ENSG00000229953.1	1.06	0.26	0.709	8.79E-47
ZRANB2-AS2	ENSG00000229956.9	0.7	0.51	0.171	1.07E-08
TOB1-AS1	ENSG00000229980.4	1.01	1.18	-0.117	1.30E-02
MIR181A1HG	ENSG00000229989.3	0.05	0.14	-0.119	5.00E-23
HMGB3P9	ENSG00000229992.1	0	0.09	-0.124	1.09E-25
SNAP47-AS1	ENSG00000230005.2	0.02	0	0.029	2.03E-05
RP4-568F9.6	ENSG00000230010.1	0	0.02	-0.029	7.66E-08
RP11-217B7.3	ENSG00000230013.1	0	0.09	-0.124	4.04E-14
RP11-481H12.1	ENSG00000230018.1	1.21	3.91	-1.152	3.08E-64
RP5-857K21.4	ENSG00000230021.7	0.59	1.12	-0.415	7.04E-22
RP11-10N16.2	ENSG00000230023.2	0	0.02	-0.029	1.33E-17
TMSB4XP6	ENSG00000230043.1	7.13	62.348	-2.962	2.01E-49
TRPM2-AS	ENSG00000230061.2	0.14	0.08	0.078	1.47E-30
HSPD1P6	ENSG00000230067.3	0.08	0.07	0.013	7.28E-02
LRRC37A15P	ENSG00000230069.3	0.23	0.5	-0.286	2.22E-32
RPL4P6	ENSG00000230071.2	0.27	0.26	0.011	3.14E-01
RP11-195F19.9	ENSG00000230074.1	1.55	2.73	-0.549	1.84E-34
MTAPP2	ENSG00000230077.1	0	0.05	-0.07	5.40E-26
PRRT3-AS1	ENSG00000230082.1	2.15	0.97	0.677	7.75E-44
RP4-613B23.1	ENSG00000230084.5	0.2	0.56	-0.379	7.19E-54
RP11-206L10.8	ENSG00000230092.7	0.57	0.8	-0.197	4.07E-04
TRBV5-4	ENSG00000230099.2	0.56	0.24	0.331	3.08E-15
RP11-407B7.1	ENSG00000230102.7	0.25	0.08	0.211	4.39E-26
RP11-282I1.1	ENSG00000230131.5	0	0.05	-0.07	2.94E-18
RP11-117D22.2	ENSG00000230138.1	0.1	0.08	0.026	2.42E-03
SEPHS1P4	ENSG00000230146.1	0.02	0	0.029	1.48E-01
HOXB-AS1	ENSG00000230148.8	1.08	2.74	-0.846	5.47E-31
RP3-508I15.19	ENSG00000230149.2	0.73	3.74	-1.454	1.34E-114
RP3-477O4.14	ENSG00000230155.6	0.57	1.08	-0.406	2.32E-31
LINC00443	ENSG00000230156.2	0	0.1	-0.138	1.40E-13
RP5-997D16.2	ENSG00000230163.1	1.05	2.37	-0.717	1.10E-81
RP5-1112D6.4	ENSG00000230177.1	1.1	1.7	-0.363	3.08E-12
GS1-124K5.2	ENSG00000230189.6	1.25	1.75	-0.29	8.14E-10
RP11-160E2.17	ENSG00000230197.6	0.14	0.41	-0.307	6.45E-35
RP11-632C17__A.1	ENSG00000230202.1	8.26	14.05	-0.701	2.16E-20
FTH1P5	ENSG00000230204.1	1	0.28	0.644	3.16E-45
PHBP9	ENSG00000230224.1	0.58	2.22	-1.027	4.03E-91
MTND5P14	ENSG00000230225.1	0	0.04	-0.057	2.26E-35
NFE4	ENSG00000230257.1	0.08	0.24	-0.199	8.99E-02
XXYLT1-AS2	ENSG00000230266.1	0.22	0.48	-0.279	4.03E-09
HERC2P4	ENSG00000230267.7	0.26	0.76	-0.482	4.36E-05
HNRNPA1P59	ENSG00000230280.2	0.2	0.35	-0.17	1.97E-11
RP11-334J6.6	ENSG00000230289.1	0.18	0.41	-0.257	9.97E-19
RP11-244J10.1	ENSG00000230291.5	0.11	0	0.151	4.77E-01
TOMM20P4	ENSG00000230311.2	0.29	0.3	-0.011	1.98E-01
FEZF1-AS1	ENSG00000230316.6	1.64	0.07	1.303	9.20E-74
RP11-385F5.4	ENSG00000230325.1	0.83	2.25	-0.829	1.36E-64
RP4-635E18.6	ENSG00000230337.1	0.95	0.35	0.531	9.25E-62
NCAPD2P1	ENSG00000230356.1	0.01	0	0.014	3.00E-12
TPI1P2	ENSG00000230359.4	0.4	0.09	0.361	3.53E-58
RPL4P3	ENSG00000230364.1	0.02	0	0.029	1.70E-08
FAM41C	ENSG00000230368.2	0.37	0.39	-0.021	9.30E-03
KARSP2	ENSG00000230371.1	0.01	0.04	-0.042	1.57E-14
GOLGA6L5P	ENSG00000230373.8	3.52	14.82	-1.807	4.06E-86
RP4-737E23.2	ENSG00000230387.2	0.09	0.82	-0.74	9.81E-44
RBBP8P1	ENSG00000230399.1	0	0.04	-0.057	6.73E-47
RP11-359G22.2	ENSG00000230400.1	0.03	0.04	-0.014	7.68E-04
TCEA1P2	ENSG00000230409.3	6.08	1.43	1.543	1.31E-85
RP5-902P8.10	ENSG00000230415.1	0.87	2.27	-0.806	3.06E-24
LINC00856	ENSG00000230417.10	0.01	0.07	-0.083	6.16E-10
RP1-43E13.2	ENSG00000230424.1	1.3	1.64	-0.199	1.53E-06
RP1-20B11.2	ENSG00000230433.1	0.02	0.15	-0.173	1.75E-51
SERPINB9P1	ENSG00000230438.6	1.67	1.46	0.118	3.07E-02
LRRC37A6P	ENSG00000230445.4	0.29	0.09	0.243	7.45E-47
U73166.2	ENSG00000230454.1	0.38	0.87	-0.438	2.06E-33
PA2G4P4	ENSG00000230457.3	0.14	0.25	-0.133	1.50E-20
PROX1-AS1	ENSG00000230461.8	0.1	0.09	0.013	1.05E-07
GS1-115G20.1	ENSG00000230470.1	0	0.24	-0.31	1.42E-51
PSMG3-AS1	ENSG00000230487.7	3.59	3.3	0.094	8.36E-04
RP11-141M1.3	ENSG00000230490.2	0.04	0.16	-0.158	4.25E-37
RP11-462D18.2	ENSG00000230495.1	0.04	0.24	-0.254	3.84E-46
RP4-564M11.2	ENSG00000230498.1	0	0.14	-0.189	1.35E-30
PPP5D1	ENSG00000230510.6	0.38	0.86	-0.431	5.34E-48
HCG4P7	ENSG00000230521.1	0.99	2.05	-0.616	2.73E-34
RP11-472G21.2	ENSG00000230526.1	0.13	0	0.176	4.98E-16
NOS2P3	ENSG00000230528.7	0	0.01	-0.014	3.00E-02
LIMD1-AS1	ENSG00000230530.1	11.85	25.5	-1.044	7.44E-82
RP11-379C10.4	ENSG00000230536.1	0	0.05	-0.07	7.69E-10
RP11-305L7.1	ENSG00000230537.1	0.9	1.66	-0.485	8.88E-16
LINC00102	ENSG00000230542.5	0	0.05	-0.07	2.98E-40
RP11-517P14.2	ENSG00000230555.2	1.24	1.2	0.026	9.12E-02
LINC01183	ENSG00000230561.3	0.28	0.29	-0.011	1.30E-01
FAM133DP	ENSG00000230562.3	0.22	0.2	0.024	4.63E-01
ZNF32-AS2	ENSG00000230565.1	0.39	0.94	-0.481	7.69E-46
SF3A3P1	ENSG00000230568.1	0.02	0	0.029	2.76E-01
PHBP12	ENSG00000230585.2	0.07	0.13	-0.079	2.56E-15
FTX	ENSG00000230590.7	2.14	4.08	-0.694	1.36E-59
RPSAP8	ENSG00000230592.2	0.04	0	0.057	8.12E-08
GPAA1P2	ENSG00000230596.2	0.78	1.35	-0.401	3.33E-01
RP11-402G3.3	ENSG00000230601.5	0.06	0	0.084	5.71E-24
HM13-AS1	ENSG00000230613.1	0.18	0.19	-0.012	3.09E-01
RP5-1198O20.4	ENSG00000230615.6	1.54	3.3	-0.759	4.73E-45
RP4-781K5.6	ENSG00000230628.1	0.05	0.06	-0.014	6.13E-04
RPS23P8	ENSG00000230629.2	17.19	25.21	-0.527	5.93E-14
RP11-359N11.1	ENSG00000230631.1	0	0.13	-0.176	3.17E-08
RP11-486B10.4	ENSG00000230638.4	0.45	1.06	-0.507	1.12E-33
KLHL7-AS1	ENSG00000230658.1	0.38	0.13	0.288	1.88E-46
SETSIP	ENSG00000230667.5	0.04	0.02	0.028	2.75E-02
PABPC1P3	ENSG00000230673.3	0.34	1.91	-1.119	5.07E-101
FBXW4P1	ENSG00000230701.2	0.41	0.94	-0.46	4.13E-45
RP11-274B21.4	ENSG00000230715.3	10.95	34.139	-1.556	3.71E-66
KRT8P7	ENSG00000230716.3	0.12	0	0.164	8.47E-41
RP4-612B15.2	ENSG00000230721.1	0.09	0	0.124	4.01E-20
LINC01001	ENSG00000230724.9	13.8	34.189	-1.25	6.83E-47
RP4-738P15.1	ENSG00000230725.5	0.02	0	0.029	1.07E-14
RPL10P3	ENSG00000230734.1	1.28	0	1.189	3.12E-86
RP1-149A16.3	ENSG00000230736.2	0.08	0.27	-0.234	1.11E-66
MEIS1-AS2	ENSG00000230749.4	0.03	0.69	-0.714	2.49E-111
ZNF341-AS1	ENSG00000230753.5	0.16	0.14	0.025	1.09E-02
RHOQP3	ENSG00000230756.1	0.1	0.16	-0.077	8.66E-07
VN1R108P	ENSG00000230772.1	0.22	0.48	-0.279	6.70E-42
RP11-318C24.1	ENSG00000230777.1	1.65	0	1.406	5.23E-18
FOXD3-AS1	ENSG00000230798.5	1.1	0	1.07	1.52E-62
LINC01358	ENSG00000230812.5	0.47	0.41	0.06	7.77E-02
RP11-325P15.2	ENSG00000230832.3	0.05	0	0.07	3.34E-14
LINC01293	ENSG00000230836.1	0.03	0.08	-0.068	1.68E-09
ZNF674-AS1	ENSG00000230844.2	1.83	3.16	-0.556	3.03E-43
RP11-195E2.1	ENSG00000230847.4	0.45	1.49	-0.78	2.09E-18
GOT2P2	ENSG00000230849.2	0.03	0	0.043	2.78E-05
TSEN15P1	ENSG00000230865.1	0.1	0	0.138	7.22E-43
FBXW11P1	ENSG00000230870.2	0.1	0.08	0.026	2.95E-08
STMND1	ENSG00000230873.8	0.53	0.62	-0.082	1.46E-02
RP11-67K19.3	ENSG00000230894.1	0.01	0	0.014	3.03E-06
RP11-767N6.7	ENSG00000230896.1	1.47	1.09	0.241	2.72E-20
RPS18P12	ENSG00000230897.1	0.45	0.26	0.203	3.72E-19
RP3-525N10.2	ENSG00000230910.2	0.11	5.99	-2.655	1.55E-196
RP3-508I15.10	ENSG00000230912.1	0.11	0.2	-0.112	3.69E-05
RP11-34A14.3	ENSG00000230928.1	0.04	0.25	-0.265	5.30E-28
RP11-395C3.1	ENSG00000230929.5	0.09	0	0.124	1.53E-03
MIR205HG	ENSG00000230937.9	0.92	0.65	0.219	1.65E-04
RP11-314C16.1	ENSG00000230939.1	0.31	0.95	-0.574	2.01E-55
RP11-367G18.1	ENSG00000230943.1	0.27	0.14	0.156	6.90E-06
HNRNPA1P68	ENSG00000230946.3	0	0.09	-0.124	5.90E-44
RP4-631H13.6	ENSG00000230953.2	0	1.87	-1.521	8.48E-09
RP11-109P14.10	ENSG00000230955.1	0.26	0	0.333	6.85E-02
SNX18P13	ENSG00000230965.1	0	0.13	-0.176	4.05E-14
HHATL-AS1	ENSG00000230970.3	0	0.18	-0.239	5.76E-24
LINC00160	ENSG00000230978.1	0.16	0	0.214	1.12E-34
HSBP1	ENSG00000230989.6	101.743	62.682	0.69	9.40E-55
FAM201B	ENSG00000230992.3	0.08	0	0.111	1.12E-19
RPL7P32	ENSG00000231006.1	0.3	0.18	0.14	1.24E-10
RP6-109B7.2	ENSG00000231010.1	0.09	0.2	-0.139	1.50E-29
LINC00326	ENSG00000231023.6	0.01	0	0.014	1.69E-02
RP11-175O19.4	ENSG00000231025.1	3.3	3.4	-0.033	1.68E-01
LINC00271	ENSG00000231028.8	0.31	0.43	-0.126	9.49E-06
RPL7L1P9	ENSG00000231035.1	0	0.08	-0.111	4.83E-37
GCNT1P3	ENSG00000231047.1	0	0.1	-0.138	7.65E-30
RP1-140A9.1	ENSG00000231050.1	0.21	0.2	0.012	1.60E-02
RP11-122M14.1	ENSG00000231057.3	0.1	0.14	-0.052	3.03E-09
RP11-263K19.4	ENSG00000231064.5	3.61	7.79	-0.931	2.50E-48
NPM1P9	ENSG00000231066.3	0.1	0.06	0.053	7.17E-08
HCG18	ENSG00000231074.8	12.3	11.54	0.085	1.48E-03
RP4-760C5.3	ENSG00000231081.1	0.06	0.11	-0.066	3.77E-05
