"Gene"	"log2FC"	"FDR"
"309"	"FRMD6"	-2.97065124200015	9.18204360390032e-22
"310"	"TMEM132C"	-2.55170812232552	9.25825288413773e-22
"311"	"WBP1"	-1.50653172763531	9.79704154148215e-22
"312"	"CTBP2"	-1.9316363065612	9.9020796675358e-22
"313"	"TAF4B"	-3.3147873026199	9.94124593904797e-22
"314"	"CDKN1A"	1.36783834356219	1.02465904495957e-21
"315"	"PTPN3"	-2.36991860002475	1.05970317820869e-21
"316"	"ZNF454"	3.78012238911125	1.10401205564903e-21
"317"	"TPM1"	1.86808477132134	1.15957550381221e-21
"318"	"KIR2DL3"	-1.48495488024914	1.18227524995935e-21
"319"	"RPL8"	-1.07677440032342	1.28008403688111e-21
"320"	"S1PR1"	2.07826170640913	1.28131376962831e-21
"321"	"SEPN1"	1.33791261129301	1.35540537544099e-21
"322"	"GTF2H3"	-1.252833926279	1.51297208215958e-21
"323"	"C6orf145"	1.43695145902522	1.58417960398441e-21
"324"	"CCNB1"	-1.16530445271433	1.58417960398441e-21
"325"	"UHRF1BP1L"	-1.77679170168252	1.58650161566005e-21
"326"	"FAM83B"	-2.67042516097291	1.61520428737849e-21
"327"	"GPR124"	4.10611381862284	1.64377369867585e-21
"328"	"NDST1"	1.89161620868744	1.67938459155928e-21
"329"	"ZNF132"	3.54812442203943	1.7376918973415e-21
"330"	"ZFP41"	-1.41288141694465	1.87148259447535e-21
"331"	"ASF1A"	-1.85416596073481	2.04027976953491e-21
"332"	"DGKA"	-2.48334753329536	2.04665435876137e-21
"333"	"CYP4F3"	-1.34200973559426	2.19918755838078e-21
"334"	"L1TD1"	1.81271058688682	2.40171254971825e-21
"335"	"C1QTNF4"	1.90531951424142	2.43623773396255e-21
"336"	"KTI12"	-2.20537264328974	2.4715922875772e-21
"337"	"PAN2"	-1.27318917723793	2.4996865148958e-21
"338"	"LOC100128842"	1.22680842315896	2.62684806541751e-21
"339"	"NIT2"	-1.77283582632396	2.68970544729134e-21
"340"	"PDCD2L"	-1.0249397464667	2.86180255575462e-21
"341"	"SIRPD"	-2.28804292220534	2.88475955636892e-21
"342"	"RPL35"	-1.4734075016968	3.00441166035194e-21
"343"	"KCMF1"	-2.45588207301626	3.01989418893115e-21
"344"	"DGUOK"	-1.99927115142723	3.07805504096527e-21
"345"	"UFSP1"	-2.2899707405949	3.48201744815637e-21
"346"	"FOXD4"	1.05457841271633	3.5855863106877e-21
"347"	"TCAP"	-1.53593667903171	3.64289471109281e-21
"348"	"ABHD3"	-1.78301167032513	3.68439235593894e-21
"349"	"SERPING1"	1.96205626519021	3.75030719949241e-21
"350"	"UTRN"	2.23084525043853	3.79599974163533e-21
"351"	"HJURP"	-1.32173503237957	3.83913205631e-21
"352"	"RPL23A"	-1.78222773415907	4.3088534325135e-21
"353"	"LGALS8"	-1.89465137273868	4.38195822342533e-21
"354"	"LOC595101"	-1.05136097060758	4.58266484388326e-21
"355"	"FLG"	-2.2958499963268	4.57764109996357e-21
"356"	"CREB5"	-2.08589546253762	4.77137791520716e-21
"357"	"HLX"	2.89974103879487	4.90175858081008e-21
"358"	"FAM53A"	-1.6244666193967	4.9261266008588e-21
"359"	"LRBA"	1.76038102184982	5.17363212882433e-21
"360"	"RBM46"	-2.36529530820564	5.4809239729403e-21
"361"	"RBL1"	-2.78433588691289	5.74240173227268e-21
"362"	"NUP43"	-1.35889957496901	5.88762637870803e-21
"363"	"RAB37"	2.17239147353787	5.99178668406626e-21
"364"	"PKD1L1"	1.39007435911345	6.1803334578664e-21
"365"	"GATA6"	2.49101798767307	6.19027438055013e-21
"366"	"LSP1P5"	-1.37417774478945	6.30521732731614e-21
"367"	"MAEL"	-2.68210040379922	6.33070569641788e-21
"368"	"SIGLEC14"	-1.34340031019765	6.33070569641788e-21
"369"	"MPPED1"	-3.36959720504837	6.5395722077512e-21
"370"	"UBE2Z"	-3.00483009230483	6.81726259031822e-21
"371"	"TMEM117"	-2.81702873253855	7.04963762795767e-21
"372"	"TM9SF4"	-1.50524421310813	7.25482092376752e-21
"373"	"BTF3"	-1.23891290210589	7.26781561562041e-21
"374"	"ALDH16A1"	-2.33818590047557	7.58225693998711e-21
"375"	"LMNB2"	-2.21067027598135	7.86354260884719e-21
"376"	"HSPB2"	3.56810318094544	8.04494481735075e-21
"377"	"GCET2"	-2.7198373258743	8.53394046970664e-21
"378"	"CASP8"	-2.90275665022377	8.97312357470075e-21
