"Gene"	"log2FC"	"FDR"
"276"	"UHRF1"	-0.92413995070538	1.12798979322037e-09
"277"	"TCF25"	-1.31081296012228	1.18919144002665e-09
"278"	"GRK5"	1.11102965625591	1.20001025592756e-09
"279"	"B3GNTL1"	-1.54331458622367	1.22116659726976e-09
"280"	"B3GNT3"	-1.24845066778749	1.23812625412981e-09
"281"	"KCNJ8"	1.51155014242275	1.24988509236701e-09
"282"	"KRT16"	-1.02660316355511	1.26464938131434e-09
"283"	"SLC34A3"	-1.36142954540539	1.26464938131434e-09
"284"	"FAM53A"	-1.36035810685106	1.2646993348573e-09
"285"	"TAF1D"	-1.39834887073498	1.2646993348573e-09
"286"	"HSPA14"	-1.21972726025605	1.2871273067598e-09
"287"	"ABCC3"	-1.70668739694898	1.33634357594876e-09
"288"	"VRK2"	-0.752503792267534	1.33682117298186e-09
"289"	"PHB"	-0.835874916559719	1.33730115037188e-09
"290"	"BTBD16"	-1.35469185313858	1.40760050516339e-09
"291"	"C10orf81"	-2.0184564771381	1.40957353406834e-09
"292"	"NOS3"	1.12683561717963	1.41736153808904e-09
"293"	"ZDHHC3"	1.21798930402754	1.66752525821651e-09
"294"	"EEF1B2"	-1.13973988801899	1.67395271309056e-09
"295"	"C14orf180"	-0.94295372650605	1.70570467786987e-09
"296"	"DCLRE1B"	-0.953905535500304	1.73010981286343e-09
"297"	"KPNA7"	-1.86850375468189	1.74293978123934e-09
"298"	"ARFRP1"	-1.34278606639281	1.74293978123934e-09
"299"	"FAM190B"	-1.53603240251626	1.78997037710053e-09
"300"	"TCF3"	-1.12879561296241	1.78997037710053e-09
"301"	"CENPM"	-1.10843347925532	1.78997037710053e-09
"302"	"ACSM5"	-1.5817986184401	1.78997037710053e-09
"303"	"SEPX1"	-4.04908558154173	1.78997037710053e-09
"304"	"SLC1A5"	-0.907028466299207	1.79472547528399e-09
"305"	"RPL39L"	-1.30389328272716	1.84069965228819e-09
"306"	"TRNT1"	-1.13803061396198	1.84069965228819e-09
"307"	"IVL"	-1.36095368127299	1.84069965228819e-09
"308"	"ALDH1B1"	-0.932805514041474	1.84673889791763e-09
"309"	"YWHAZ"	-1.32040920755564	1.8859475517257e-09
"310"	"B4GALT2"	-1.05105130548115	1.88804151304185e-09
"311"	"KCNS2"	1.30132334387969	1.91824732050161e-09
"312"	"AMHR2"	-1.06786796514133	1.92783939043372e-09
"313"	"DLEU2"	-1.27672681809055	1.95468904161728e-09
"314"	"PIGW"	-1.11956141683389	1.9569483616298e-09
"315"	"TMEM132D"	2.14476452985306	1.98409954224969e-09
"316"	"GSTM5"	1.11620907471936	2.08745502763097e-09
"317"	"SVIL"	-1.5750218959708	2.22038879193424e-09
"318"	"ALG1L"	-2.06941130819359	2.25960290430512e-09
"319"	"LOC342346"	-1.59983191928288	2.32453123346796e-09
"320"	"MGC12916"	1.24312662164005	2.33454369490796e-09
"321"	"FBXO5"	-1.42314845025213	2.41479897364814e-09
"322"	"C20orf196"	-1.59412326590166	2.46016932919975e-09
"323"	"LOC283867"	-2.05027326550718	2.50893162501457e-09
"324"	"APOL6"	-1.11890236721549	2.60760336065738e-09
"325"	"COX6C"	-1.60758711798738	2.61365942202881e-09
"326"	"POLR1E"	-0.904612231152535	2.62946933741973e-09
"327"	"ANKS1B"	2.12494802027974	2.68821116266091e-09
"328"	"ALPL"	1.61269595722238	2.68821116266091e-09
"329"	"SORCS1"	-1.54180029798296	2.68821116266091e-09
"330"	"C19orf22"	-1.09584776262382	2.7093123376963e-09
"331"	"GAPDH"	-1.47724963685434	2.81292682529142e-09
"332"	"PHF19"	-0.909735897448672	2.81292682529142e-09
"333"	"ADRB3"	1.93523284543206	2.81292682529142e-09
"334"	"MTRR"	-1.34826444337308	2.92200644767031e-09
"335"	"EXOC3L"	1.03712534145079	2.98018466725663e-09
"336"	"KERA"	-1.37555688566681	2.98018466725663e-09
"337"	"TMEM49"	-1.55212783062922	2.98968254923554e-09
"338"	"FOXI2"	2.71213275051262	3.10401952177375e-09
"339"	"KCTD21"	-2.5704230006323	3.15625008855571e-09
"340"	"RIN1"	-1.00638348080839	3.15625008855571e-09
"341"	"CDH22"	-0.88043715939028	3.19788613334188e-09
"342"	"XDH"	-1.98043759077496	3.19788613334188e-09
"343"	"FAM173B"	-2.15589449761103	3.26018503560802e-09
"344"	"NHLH1"	0.93235966348175	3.26018503560802e-09
"345"	"KIAA1274"	0.95474148319694	3.54850779287714e-09
"346"	"CRCP"	-0.941588631599784	3.64025422602508e-09
"347"	"EXOC4"	-1.14752699128558	3.64025422602508e-09
"348"	"ZNF876P"	1.64916938802584	3.67927273242449e-09
"349"	"PKM2"	-1.5503271573291	3.69435303147012e-09
"350"	"RFFL"	-1.55637561597747	3.79689728327977e-09
"351"	"DCC"	1.54632960195315	3.83936696604195e-09
"352"	"PDE1A"	1.4767686660609	3.86335981510941e-09
"353"	"C1orf74"	-1.04862103036194	3.87169042092775e-09
"354"	"MXD3"	-0.955769142401133	3.87954412518729e-09
"355"	"DHX9"	-1.75926399779859	3.97612514582142e-09
"356"	"VPS33A"	-1.1070011612317	4.04383492803941e-09
"357"	"ITGA8"	2.86125610045266	4.06012411321707e-09
"358"	"ZNF76"	-0.913742216885396	4.07482734342287e-09
"359"	"SAMD9"	-1.04945601185535	4.07482734342287e-09
"360"	"ADAMTS12"	-1.70861387901221	4.29561584794375e-09
"361"	"ZNF648"	-1.2261857511423	4.36429370055097e-09
"362"	"FLJ33360"	-1.92080845303793	4.38577553502828e-09
"363"	"RAMP1"	-1.16725978929216	4.62161012735977e-09
"364"	"VAV2"	-1.03066422135149	4.70588701318417e-09
"365"	"COPS7A"	-1.24582012351294	4.75127449056096e-09
"366"	"RAB34"	-1.00612661432082	4.75127449056096e-09
"367"	"CUEDC1"	-1.29921204649706	5.21913745055075e-09
"368"	"TRMT112"	-1.08868504467404	5.21913745055075e-09
"369"	"PALM2AKAP2"	0.800165998735804	5.2341057402057e-09
"370"	"MLLT1"	1.19160150871318	5.24886845097744e-09
"371"	"C14orf39"	2.03677007901565	5.25450424997348e-09
"372"	"SIPA1L3"	-1.08504543614177	5.52416131817524e-09
"373"	"GALNTL2"	-1.31851013334478	5.52948749132933e-09
"374"	"SLC6A1"	2.11940129419321	5.54578898363962e-09
"375"	"MRPL54"	-0.919576518191135	5.62776247643138e-09
"376"	"DBNDD1"	-0.926028609877757	5.65631397672711e-09
"377"	"PENK"	1.77113237328241	5.72678152770032e-09
"378"	"TRIM59"	-1.15966032683135	5.85785606445968e-09
"379"	"GPR39"	-2.36972286232895	6.08203033193559e-09
"380"	"MREG"	-1.10163161465586	6.21540692193616e-09
