"ID"	"Gene.symbol"	"logFC"	"adj.P.Val"
"286"	"220717_at"	"ADAMTS20"	-0.237718723159088	0.344013625124358
"287"	"214913_at"	"ADAMTS3"	-0.606011720333743	1.49051366719241e-07
"288"	"1555380_at"	"ADAMTS4"	0.0918100924455896	0.626088573125287
"289"	"229357_at"	"ADAMTS5"	0.243482735035863	0.377140061843096
"290"	"220866_at"	"ADAMTS6"	0.455576197896336	0.072266975700105
"291"	"228911_at"	"ADAMTS7"	0.294068630114501	0.0414665646505198
"292"	"220677_s_at"	"ADAMTS8"	0.208489774636895	0.470153551457595
"293"	"220287_at"	"ADAMTS9"	0.159115892564261	0.306295974898568
"294"	"241369_at"	"ADAMTS9-AS1"	0.166896477809993	0.556139545791011
"295"	"1556364_at"	"ADAMTS9-AS2"	-0.472663513239489	0.0432708483407205
"296"	"1552457_a_at"	"ADAMTSL1"	0.300200442431616	0.160743759538833
"297"	"206629_at"	"ADAMTSL2"	0.0917829382820856	0.541589868314671
"298"	"213974_at"	"ADAMTSL3"	-0.174897669136296	0.0524418115744847
"299"	"220578_at"	"ADAMTSL4"	0.155140750086343	0.486403745176741
"300"	"242200_at"	"ADAMTSL5"	0.300583664856068	0.154406038744952
"301"	"90265_at"	"ADAP1"	-0.148059825193892	0.00491446906479823
"302"	"219358_s_at"	"ADAP2"	-0.309885980546388	2.55790536339328e-05
"303"	"201786_s_at"	"ADAR"	0.0167751479924121	0.775125130914839
"304"	"203865_s_at"	"ADARB1"	-0.567282716461383	1.09627607381248e-11
"305"	"237437_s_at"	"ADARB2"	0.344762802770055	0.0574660544675987
"306"	"1561127_at"	"ADARB2-AS1"	0.0299477936778505	0.898309027515731
"307"	"219384_s_at"	"ADAT1"	-0.0717440239841309	0.248309959032692
"308"	"227213_at"	"ADAT2"	0.00811254535715111	0.969423264631583
"309"	"1553967_at"	"ADAT3"	0.166974854108105	0.334268119595977
"310"	"230634_x_at"	"ADAT3///SCAMP4"	0.0396985440444624	0.725471371172275
"311"	"227482_at"	"ADCK1"	0.101341519122275	0.151184058120015
"312"	"44120_at"	"ADCK2"	-0.0565690118105895	0.278561517009801
"313"	"228524_at"	"ADCK5"	-0.0495831823916335	0.813048831307622
"314"	"232062_at"	"ADCY1"	0.399751584331034	0.0334543601240608
"315"	"217305_s_at"	"ADCY10"	0.148848068931384	0.579103962761019
"316"	"236832_at"	"ADCY10P1"	-0.175236257014163	0.111219513468071
"317"	"213217_at"	"ADCY2"	-0.519806162594145	2.39507241482551e-13
"318"	"209321_s_at"	"ADCY3"	-0.0485488904650699	0.686913059676016
"319"	"230800_at"	"ADCY4"	0.276554185493993	0.283093043371915
"320"	"242891_at"	"ADCY5"	0.270364189291101	0.285689789341642
"321"	"209195_s_at"	"ADCY6"	0.0664205931495818	0.436098781676439
"322"	"203741_s_at"	"ADCY7"	-0.0611302105346176	0.673663724455411
"323"	"206811_at"	"ADCY8"	-0.0169861849957833	0.96772053978812
"324"	"204497_at"	"ADCY9"	-0.206630999425485	0.000121354838260777
"325"	"230237_at"	"ADCYAP1"	0.154333585246975	0.496703712712147
"326"	"207151_at"	"ADCYAP1R1"	0.276252663761393	0.280880974764174
"327"	"208030_s_at"	"ADD1"	-0.186710343196765	1.54970564890187e-07
"328"	"239530_at"	"ADD2"	0.45219126745651	0.0524981852702332
